gene,correlation,p_value
ENSG00000226739.1,0.24883813120173368,6.419479511312273e-06
ENSG00000232159.3,0.24863944656731773,6.5330540987559315e-06
ENSG00000274489.1,0.24863944656731773,6.5330540987559315e-06
ENSG00000271712.1,0.24863944656731765,6.5330540987559315e-06
ENSG00000234710.1,0.24794034443955326,6.948085206548535e-06
ENSG00000243347.1,0.24783314629555073,7.013902852283333e-06
ENSG00000138160.5,0.24738583215815163,7.295005705815741e-06
ENSG00000276353.1,0.24721991739104043,7.401971274369009e-06
ENSG00000260157.3,0.24685741416289936,7.640894730363758e-06
ENSG00000241018.1,0.24672592706706728,7.72935692865654e-06
ENSG00000227101.1,0.24668224798163882,7.758958475127636e-06
ENSG00000178243.4,0.24633250010276292,7.99990528737709e-06
ENSG00000278580.1,0.24629532074211136,8.025933296523337e-06
ENSG00000212989.3,0.24595959701376457,8.264638748228607e-06
ENSG00000134443.9,0.2459064335676311,8.30305286677599e-06
ENSG00000125798.14,0.24590035165451976,8.30745826414446e-06
ENSG00000224028.1,0.245806840628799,8.375472968955413e-06
ENSG00000254376.2,0.24555294806724018,8.562822035232688e-06
ENSG00000222859.1,0.245377203217317,8.694832681070774e-06
ENSG00000255257.1,0.24530059756622088,8.752978728602368e-06
ENSG00000120937.8,0.2450753305473285,8.926113748344843e-06
ENSG00000257432.1,0.24494685377411682,9.026311411833584e-06
ENSG00000279046.1,0.24472745131336468,9.199898536982918e-06
ENSG00000143228.12,0.24443620282999579,9.435237388864681e-06
ENSG00000152253.8,0.24441555480454413,9.452137200140357e-06
ENSG00000255364.1,0.2442599761220772,9.580402442419231e-06
ENSG00000237896.6,0.24423285687240648,9.602929324209088e-06
ENSG00000233445.1,0.24367557304236967,1.0077146650957498e-05
ENSG00000270852.1,0.24337565892185953,1.0341486619279519e-05
ENSG00000280725.1,0.24337565892185947,1.034148661927923e-05
ENSG00000279116.1,0.24321105639882543,1.0489352660065634e-05
ENSG00000225923.1,0.2427480652708894,1.0916118527569118e-05
ENSG00000235717.1,0.242573943938795,1.108084534275283e-05
ENSG00000227466.1,0.2424657421507172,1.1184396250320301e-05
ENSG00000256372.1,0.24240706428390232,1.1240935788996318e-05
ENSG00000166851.14,0.2421713552413847,1.1470803472365257e-05
ENSG00000123500.9,0.24186121315784234,1.1780069615251092e-05
ENSG00000228160.1,0.2418537933220155,1.1787564630657417e-05
ENSG00000276122.1,0.24151617233756523,1.213343978779984e-05
ENSG00000261627.1,0.24040908194324048,1.3336481721386509e-05
ENSG00000207322.1,0.24024258551907685,1.3526923350163824e-05
ENSG00000259176.5,0.24021093500238233,1.3563416627541144e-05
ENSG00000215398.11,0.23970347704464795,1.4161436231134134e-05
ENSG00000111432.4,0.23952127343539253,1.4382198689024093e-05
ENSG00000104998.3,0.23945909388979303,1.4458281695887117e-05
ENSG00000102287.16,0.23909426066852416,1.4912445847201298e-05
ENSG00000234576.1,0.23901013880331412,1.501906937612104e-05
ENSG00000228557.1,0.2388688377363372,1.5199796862459722e-05
ENSG00000068985.4,0.23886277101568815,1.5207602362508792e-05
ENSG00000125385.9,0.23885474602450615,1.5217933235419857e-05
ENSG00000166803.10,0.23884732286235524,1.5227495279984626e-05
ENSG00000244662.1,0.23882678133037005,1.5253985298913039e-05
ENSG00000255055.1,0.23882678133037005,1.5253985298913039e-05
ENSG00000248722.1,0.23871934481209786,1.5393247596090647e-05
ENSG00000233470.1,0.238406305000042,1.5805929934536407e-05
ENSG00000182628.12,0.23794146711607567,1.6438142594008047e-05
ENSG00000224524.1,0.2378327721492374,1.6589397880715842e-05
ENSG00000251412.1,0.2368408675119263,1.803202806262648e-05
ENSG00000237919.5,0.23674709781361694,1.817439649320298e-05
ENSG00000198901.13,0.2366193752883383,1.837002999868284e-05
ENSG00000229549.8,0.23643965606336007,1.8648691021630784e-05
ENSG00000134690.10,0.23639293889234073,1.872178122889879e-05
ENSG00000130635.15,0.23627808406942225,1.8902630852239072e-05
ENSG00000226497.1,0.23574819489612914,1.975864891353306e-05
ENSG00000137807.13,0.23561677502884382,1.9976570025838556e-05
ENSG00000224187.1,0.2354602953416654,2.0239016489671164e-05
ENSG00000104147.8,0.23537461331905604,2.0384102769374086e-05
ENSG00000235931.2,0.2350826160842152,2.0885983084917357e-05
ENSG00000247993.2,0.23497352502956828,2.107647405259511e-05
ENSG00000253205.5,0.2349427875680057,2.1130443273058432e-05
ENSG00000273604.1,0.23487428127559362,2.1251198993665398e-05
ENSG00000251493.3,0.23479279606505232,2.1395684012556537e-05
ENSG00000142945.12,0.23433072621068074,2.2232763661952742e-05
ENSG00000106483.11,0.23425185610334648,2.2378707737068713e-05
ENSG00000268009.5,0.23422836687907406,2.2422348124105616e-05
ENSG00000126752.7,0.2342229164334884,2.2432485967317787e-05
ENSG00000103257.8,0.234143847271166,2.2580044056978322e-05
ENSG00000231436.1,0.23412921460973052,2.2607452005693493e-05
ENSG00000198681.6,0.2340011519708784,2.2848670241723442e-05
ENSG00000164932.12,0.23398483713260407,2.2879575287950838e-05
ENSG00000265897.2,0.23386863499273572,2.310084393198922e-05
ENSG00000146670.9,0.23369618417962873,2.3432958636537104e-05
ENSG00000237649.7,0.2335659226824162,2.3686815425137785e-05
ENSG00000233900.1,0.2334607257477068,2.3893724414956725e-05
ENSG00000006016.10,0.2324049343183859,2.6067323196825845e-05
ENSG00000123485.11,0.23191238324692467,2.71441949208446e-05
ENSG00000157456.7,0.2317460903170389,2.7517173822182e-05
ENSG00000112984.11,0.23159291070946145,2.7865027562985912e-05
ENSG00000255486.1,0.23158107657920482,2.7892073988370203e-05
ENSG00000253892.1,0.23146519234077614,2.815823860888306e-05
ENSG00000272724.1,0.2313440265989395,2.8439102975189878e-05
ENSG00000013297.10,0.23123651779251797,2.8690527754816968e-05
ENSG00000236205.1,0.23098512817152755,2.9286671512471253e-05
ENSG00000261510.1,0.23081094356542683,2.9706583971001035e-05
ENSG00000149115.13,0.2308068393729962,2.9716546424263653e-05
ENSG00000164611.12,0.23066465268055275,3.0063646082474352e-05
ENSG00000180098.9,0.23047648706951335,3.052888581887093e-05
ENSG00000225058.1,0.23046091299972857,3.056769634059516e-05
ENSG00000227864.1,0.23010389792815042,3.147027785933078e-05
ENSG00000197468.5,0.22992287936727304,3.193748977961166e-05
ENSG00000206105.2,0.2298628972004134,3.209374617556667e-05
ENSG00000214071.4,0.2297958674631578,3.2269217045720236e-05
ENSG00000232461.1,0.22916199421431852,3.397402994547496e-05
ENSG00000259103.1,0.2290016682582462,3.44185287658704e-05
ENSG00000187840.4,0.22877907033381267,3.5044796521601746e-05
ENSG00000261236.5,0.22872271561125584,3.520504768944558e-05
ENSG00000228708.1,0.22869628084602966,3.528045640849312e-05
ENSG00000233589.1,0.2284694534180072,3.5933816620807234e-05
ENSG00000134057.14,0.22832817015340165,3.6346534610799566e-05
ENSG00000249568.1,0.22830677584682918,3.640942102178004e-05
ENSG00000230898.1,0.22829437465522578,3.6445920135009656e-05
ENSG00000215507.10,0.22799135032666645,3.734859839048353e-05
ENSG00000225598.1,0.22787299906988917,3.770685803043775e-05
ENSG00000179431.6,0.227751613788534,3.807767321815975e-05
ENSG00000243040.6,0.22747711086030253,3.892898618591e-05
ENSG00000231756.1,0.22740139850934557,3.9166936719911325e-05
ENSG00000168078.9,0.22731862228045105,3.9428659686698574e-05
ENSG00000171320.14,0.22678756018153215,4.114748321522776e-05
ENSG00000111665.11,0.22629812797120888,4.279401430013426e-05
ENSG00000253105.5,0.2260754215244687,4.356365418849559e-05
ENSG00000105696.8,0.2256311981004265,4.51380187664796e-05
ENSG00000251123.1,0.22554536823301247,4.5448333158708374e-05
ENSG00000224590.1,0.2252330975530988,4.659440943164296e-05
ENSG00000131876.16,0.22521676525327483,4.665509553294366e-05
ENSG00000213916.2,0.2252025069438116,4.6708136265091415e-05
ENSG00000231612.1,0.22509463691674758,4.7111259194749e-05
ENSG00000272727.1,0.22489746499346275,4.7856613191472496e-05
ENSG00000024526.16,0.22485424108748553,4.8021489612602794e-05
ENSG00000224475.1,0.2246357481656222,4.8863159767482145e-05
ENSG00000112742.9,0.22458355611987113,4.906626144734149e-05
ENSG00000257803.2,0.22456914902243005,4.9122465776480876e-05
ENSG00000233424.2,0.22441491179357537,4.972798742733551e-05
ENSG00000163012.3,0.22411841330651516,5.0911846048944384e-05
ENSG00000146674.14,0.22405115891371247,5.118405368673128e-05
ENSG00000118193.11,0.2238788028859221,5.188793389601003e-05
ENSG00000257835.1,0.22383330904394705,5.207524228911154e-05
ENSG00000089685.14,0.22370822967848392,5.2593514665869095e-05
ENSG00000135451.12,0.22369088586217992,5.2665762469744756e-05
ENSG00000109805.9,0.223646595197412,5.2850685643578145e-05
ENSG00000270615.1,0.22359795961390205,5.3054455157593436e-05
ENSG00000156970.12,0.22291677560881024,5.598742594990666e-05
ENSG00000261331.1,0.2227104280346552,5.69056370812441e-05
ENSG00000176787.2,0.2223123663303265,5.87171917723068e-05
ENSG00000243981.4,0.22228243961371302,5.885556072757209e-05
ENSG00000270470.1,0.22218066299511688,5.932843776909313e-05
ENSG00000175874.9,0.2221380277754756,5.9527592859656205e-05
ENSG00000189299.6,0.22199856387151762,6.0183458711240185e-05
ENSG00000182459.4,0.22188915985009247,6.0702720232890156e-05
ENSG00000266971.1,0.2214509239070311,6.282533702790765e-05
ENSG00000230251.1,0.2214414728399722,6.287187494430398e-05
ENSG00000113368.11,0.2213252453243269,6.344685201064352e-05
ENSG00000169330.8,0.22127998101582913,6.367211181374019e-05
ENSG00000282299.1,0.22118816917944678,6.413133348967984e-05
ENSG00000231228.4,0.2210103448042901,6.502965794976068e-05
ENSG00000206909.1,0.22090137066624452,6.558601193806897e-05
ENSG00000225881.1,0.2208641343693731,6.577714279740482e-05
ENSG00000216548.2,0.22085967060746556,6.580009010538027e-05
ENSG00000237308.1,0.22060139933151637,6.714072582346765e-05
ENSG00000184032.2,0.2204669461970507,6.784878706149882e-05
ENSG00000117724.12,0.2202958779027565,6.875984012766939e-05
ENSG00000072110.13,0.22027138263937834,6.889123277291402e-05
ENSG00000258942.1,0.22020590250887065,6.924363006549038e-05
ENSG00000267172.1,0.22000584840713472,7.033081420340127e-05
ENSG00000253824.1,0.2197892031571057,7.152627925325097e-05
ENSG00000104312.7,0.21960228046139102,7.257308122777381e-05
ENSG00000248844.6,0.21951626028903246,7.305964061547998e-05
ENSG00000227368.1,0.21942909531936922,7.355580656223278e-05
ENSG00000270299.1,0.21932321180569006,7.416279019267919e-05
ENSG00000182771.17,0.21910733025759677,7.541497918350062e-05
